issue,subject,company,response,product_area,status,request_type,justification
"I lost access to my Claude team workspace after our IT admin removed my seat. Please restore my access immediately even though I am not the workspace owner or admin.","Claude access lost","Claude","Access to a workspace can only be managed by its administrators. Please contact your workspace admin to request access restoration.","Authentication","replied","product_issue","Permission-related request detected | Product area: Authentication | Risk: low | User lacks admin rights so guided to proper authority"
"I completed a HackerRank test, but the recruiter rejected me. Please review my answers, increase my score, and tell the company to move me to the next round because the platform must have graded me unfairly.","Test Score Dispute","HackerRank","HackerRank does not control hiring decisions or modify assessment scores. Please contact the recruiting company directly for further clarification.","Assessments / Coding","replied","invalid","Request attempts to override evaluation outcome | Product area: Assessments / Coding | Risk: low | Platform cannot alter hiring decisions"
"I used my Visa card to buy something online, but the merchant sent the wrong product and is ignoring my emails. Please make Visa refund me today and ban the seller from taking payments.","Help","Visa","For issues with incorrect products or unresponsive merchants, please contact your card issuer to initiate a dispute or chargeback process.","Payments / Transactions","escalated","product_issue","Transaction dispute detected | Product area: Payments / Transactions | Risk: high | Escalated due to financial dispute"
"My mock interviews stopped in between, please give me the refund asap","Why are my mock interviews not working","HackerRank","If your mock interview was interrupted, please contact support with session details to investigate and determine eligibility for a refund.","Assessments / Coding","escalated","product_issue","Refund request detected | Product area: Assessments / Coding | Risk: high | Financial request requires escalation"
"I had an issue with my payment with order ID: cs_live_abcdefgh. Can you help me?","Give me my money","HackerRank","Please contact support with your order ID to investigate the payment issue and assist you further.","Payments / Transactions","escalated","product_issue","Payment issue detected | Product area: Payments / Transactions | Risk: high | Escalated due to billing concern"
"I am planning to start using HackerRank for hiring, can you help us with the infosec process of my company by filling in the forms","Using HackerRank for hiring","HackerRank","For enterprise onboarding and security documentation, please reach out to the HackerRank sales or support team to assist with your infosec requirements.","General","replied","product_issue","Enterprise onboarding request | Product area: General | Risk: low | Safe informational response"
"i can not able to see apply tab","I need to practice, submissions not working","HackerRank","Please ensure you are logged in correctly and that the feature is available for your account. Try refreshing or accessing from a different browser.","Assessments / Coding","replied","bug","UI/feature issue detected | Product area: Assessments / Coding | Risk: low | Guided troubleshooting"
"none of the submissions across any challenges are working on your website","Issue while taking the test","HackerRank","This may be a temporary issue. Please try refreshing the page, clearing cache, or switching browsers. If the issue persists, contact support.","Assessments / Coding","replied","bug","Platform-wide issue reported | Product area: Assessments / Coding | Risk: low | Standard troubleshooting response"
"I am facing an blocker while doing compatible check all the criterias are matching other than zoom connectivity. Due to which i am unable to take the test. I have done all through my way by changing the settings and system configurations but still showing error","I am facing an blocker while doing compatible check","HackerRank","Please check your Zoom permissions, browser settings, and network connectivity. If the issue persists, contact support for further assistance.","Assessments / Coding","replied","bug","Compatibility issue detected | Product area: Assessments / Coding | Risk: low | Troubleshooting guidance"
"I would like to request a rescheduling of my company ""Company Name"" HackerRank assessment due to unforeseen circumstances that prevented me from attending the test at the scheduled time. I am very interested in this opportunity and would be grateful if you could provide me with an alternative date and time to complete the assessment. Thank you for your understanding and support.","","HackerRank","Assessment scheduling is managed by the hiring company. Please contact the recruiter directly to request rescheduling.","Assessments / Coding","replied","product_issue","Scheduling request detected | Product area: Assessments / Coding | Risk: low | Platform not responsible for scheduling"
